dataset,index,epochs,fscore
Textual/Company,0,3,0.9093132972217368
Textual/Company,1,3,0.910049191848208
Textual/Company,2,3,0.9089147286821705
Textual/Company,3,3,0.9075189939743254
Textual/Company,4,3,0.9109258446687144
Textual/Abt-Buy,0,15,0.8117359413202935
Textual/Abt-Buy,1,15,0.8861985472154963
Textual/Abt-Buy,2,15,0.9060240963855423
Textual/Abt-Buy,3,15,0.8132387706855791
Textual/Abt-Buy,4,15,0.8883495145631068
wdc_all_small,0,10,0.8084027526258601
wdc_all_small,1,10,0.8278750952018278
wdc_all_small,2,10,0.816295157571099
wdc_all_small,3,10,0.8197826901461223
wdc_all_small,4,10,0.7963031423290203
wdc_all_medium,0,10,0.8530259365994236
wdc_all_medium,1,10,0.84853228962818
wdc_all_medium,2,10,0.8472868217054264
wdc_all_medium,3,10,0.8433333333333334
wdc_all_medium,4,10,0.8402225755166931
wdc_all_large,0,10,0.9288702928870292
wdc_all_large,1,10,0.9341614906832298
wdc_all_large,2,10,0.9254477301124532
wdc_all_large,3,10,0.9332770270270271
wdc_all_large,4,10,0.9234672304439746
wdc_all_xlarge,0,10,0.942134590655808
wdc_all_xlarge,1,10,0.9395109395109396
wdc_all_xlarge,2,10,0.9408740359897172
wdc_all_xlarge,3,10,0.9414780008543358
wdc_all_xlarge,4,10,0.9390034364261169
wdc_computers_small,0,10,0.7862481315396114
wdc_computers_small,1,10,0.800599700149925
wdc_computers_small,2,10,0.7842565597667639
wdc_computers_small,3,10,0.7899408284023669
wdc_computers_small,4,10,0.7756874095513748
wdc_computers_medium,0,10,0.8355555555555556
wdc_computers_medium,1,10,0.8619119878603945
wdc_computers_medium,2,10,0.8614916286149165
wdc_computers_medium,3,10,0.8686244204018548
wdc_computers_medium,4,10,0.8703703703703705
wdc_computers_large,0,10,0.9235668789808916
wdc_computers_large,1,10,0.9096774193548386
wdc_computers_large,2,10,0.9174603174603174
wdc_computers_large,3,10,0.9073482428115016
wdc_computers_large,4,10,0.9146537842190017
wdc_computers_xlarge,0,10,0.9478991596638655
wdc_computers_xlarge,1,10,0.9510961214165261
wdc_computers_xlarge,2,10,0.9501661129568107
wdc_computers_xlarge,3,10,0.953020134228188
wdc_computers_xlarge,4,10,0.959866220735786
wdc_cameras_small,0,10,0.7640117994100294
wdc_cameras_small,1,10,0.7378917378917379
wdc_cameras_small,2,10,0.7871362940275651
wdc_cameras_small,3,10,0.7742899850523168
wdc_cameras_small,4,10,0.7789799072642967
wdc_cameras_medium,0,10,0.8586206896551725
wdc_cameras_medium,1,10,0.8581081081081081
wdc_cameras_medium,2,10,0.8571428571428572
wdc_cameras_medium,3,10,0.8683760683760684
wdc_cameras_medium,4,10,0.8581081081081081
wdc_cameras_large,0,10,0.9204152249134949
wdc_cameras_large,1,10,0.9169550173010381
wdc_cameras_large,2,10,0.9185441941074522
wdc_cameras_large,3,10,0.9187279151943463
wdc_cameras_large,4,10,0.9182608695652175
wdc_cameras_xlarge,0,10,0.9422066549912433
wdc_cameras_xlarge,1,10,0.9479166666666666
wdc_cameras_xlarge,2,10,0.9369369369369369
wdc_cameras_xlarge,3,10,0.9449378330373002
wdc_cameras_xlarge,4,10,0.9399293286219081
wdc_shoes_small,0,10,0.7517531556802244
wdc_shoes_small,1,10,0.7165021156558533
wdc_shoes_small,2,10,0.7375886524822696
wdc_shoes_small,3,10,0.734806629834254
wdc_shoes_small,4,10,0.736998514115899
wdc_shoes_medium,0,10,0.8006329113924051
wdc_shoes_medium,1,10,0.8462809917355372
wdc_shoes_medium,2,10,0.8295081967213116
wdc_shoes_medium,3,10,0.8018018018018018
wdc_shoes_medium,4,10,0.8350668647845468
wdc_shoes_large,0,10,0.8641114982578396
wdc_shoes_large,1,10,0.8458904109589042
wdc_shoes_large,2,10,0.8591065292096219
wdc_shoes_large,3,10,0.8581560283687942
wdc_shoes_large,4,10,0.8677966101694914
