left,right,match,pred_ditto_xl,pred_chatgpt_0,pred_finetune_ada,pred_finetune_curie,pred_finetune_ada_large,pred_finetune_curie_large
title: GoPro HDMI Cable Cable AHDMC-301 - Filmtools,title: GoPro Headstrap Plus Quickclip Quickclip | Sportsman's Warehouse,False,False,False,False,True,False,False
title: PowerLine HD Day Night Cloud Camera Kit DCS-6045LKT PowerLine Day/Night Kit | D-Link,"title: HD DVR Surveillance System, 16 Infrared Dome Cameras, Free Mobile Apps System Cameras",False,False,False,False,False,False,True
title: Canon BG-E11 Battery Grip for EOS 5D Mark III Camera Accessories :: Canon Camera - Onestop Digital,title: Canon BG-E11 - battery grip  Canon grip 5261B001 Digital Camera Accessories CDWG.com,True,True,True,True,True,True,True
title: Transcend TS32GCF133 32 GB CompactFlash,title: Transcend 32GB CompactFlash Memory Card 133x (TS32GCF133) Accessories - Page 1531 | EISF,True,True,True,True,True,True,True
title: Full HD Wireless Day Night Network Camera DCS-2230L Full Camera | D-Link UK,title: Full HD WDR Varifocal Day & Night Outdoor Smoked Dome Network Camera DCS-6314BS Full Camera | D-Link UK,False,False,False,False,False,False,True
title: Transcend 4GB Secure Digital High-Capacity(SDHC) Class 2 SDHC Flash Memory Product data Transcend Memory memory cards (TS4GSDHC),title: Transcend TS4GSDHC BUB 4GB SDHC Secure Digital Class 2 Retail,True,True,True,True,True,True,True
title: Fujifilm Instax Mini Film Twin Pack (20 Pictures)  | Unique Photo,title: Fujifilm Instax Mini 8 Instant Film Camera - Pink  Fujifilm Pink | FujiFilm at Unique Photo,False,False,False,False,True,False,True
title: Speedlite 270EX II Canon Speedlite II | Canon Online Store,title: Canon - Speedlite 270EX II External Flash,True,True,True,True,True,True,True
title: Fujifilm Fujinon XF 55-200mm f3.5-4.8 R LM OIS Lens Aden Camera   Fujifilm Lens | Digital SLR Toronto Canada Store Cameras,title: Canon EF-S 18-55mm f3.5-5.6 IS STM  Canon STM | Digital SLR Camera Cameras Toronto Canada Store Aden,False,False,False,False,False,False,False
title: Canon EF wide-angle lens - 20 mm  Canon mm 2509A003 Camera & Camcorder Lenses CDW.com,title: Toro 20-Volt Lithium Ion Battery Charger 88500,False,False,False,False,False,False,True
title: Cámara NIKON D-5300 Profesional + Estuche Memoria 8 GB Negra,title: Nikon D5300 24.2 Megapixel Digital SLR Camera with Lens - 18 mm 55 Black,True,True,True,True,True,False,True
title: HD Wireless N Day/Night Outdoor Cloud Camera DCS-2330L HD Camera | D-Link,title: Outdoor HD Wireless Day/Night Cloud Camera DCS-2332L Outdoor Camera | D-Link,False,False,True,False,False,False,True
title: Kingston - flash memory card 16 GB microSDHC UHS-I  Kingston UHS-I SDCAC/16GB Flash Memory Cards CDW.com,title: Kingston MicroSD Action Camera 16GB Clase 10 UHS-I U3 + Adaptador Adaptador |PcComponentes,True,True,True,False,False,True,True
title: Kingston - flash memory card 16 GB microSDHC UHS-I  Kingston UHS-I SDCAC/16GB Flash Memory Cards CDW.com,title: SanDisk - Extreme 32GB CompactFlash (CF) Memory Card,False,False,False,False,False,False,True
title: Manfrotto MVH500AH Pro Fluid Head Flat Base  - Optics4Birding,title: Manfrotto 500 Pro Fluid Head Flat Base Base MVH500AH - Filmtools,True,True,True,True,True,True,True
title: Sony HXR-NX100 Full HD NXCAM Camcorder Inc. Inc. Sony Camcorder - Professional Video Cameras Pro E.C. Systems E.C.,title: Full HD Outdoor Mini Dome Kamera DCS-4802E Full Kamera | D-Link Deutschland,False,False,False,False,False,False,True
title: Manfrotto MT055CXPRO4 Carbon Fiber Tripod  - Optics4Birding,"title: Manfrotto 504HD,546BK Midi Twin System Mid-Level Spreader 546BK Spreader | Manfrotto WTS Broadcast  504HD",False,False,False,False,False,False,False
title: SanDisk Extreme Pro 64GB SDHC UHS-I Card (SDSDXXG-064G-GN4IN) Computer Accessories & Peripherals - Page 2991 | Laptops Outlet Direct,title: SanDisk 64GB Class 4 SDXC Flash Memory Card- SDSDB-064G-B35 (Label May Change) Computer Accessories & Peripherals - Page 7 | Laptops Outlet Direct,False,False,False,False,False,False,True
title: GoPro Rechargeable Battery (for HERO4 Black/HERO4 Silver) (GoPro Official Accessory) Accessories - Page 985 | EISF,title: Knog lights Qudos Action Video Light for GoPro Silver Scubastore Silver kopen en aanbiedingen,False,False,False,False,False,False,False
title: Outdoor HD PoE Day/Night Fixed Mini Bullet Cloud Camera DCS-7010L Outdoor Camera | D-Link,title: Full HD Outdoor Vandal Proof PoE Dome Camera DCS-4602EV Full Camera | D-Link,False,False,False,False,False,False,True
title: Tripod Adaptor Go Pro Tripod Adaptor - Accessories Video Cameras Electronic & Orienteering Devices at Barrabes.com,title: GoPro Tripod Mounting Kit - ABQRT-001,True,True,True,False,True,False,True
title: Sandisk 32GB SDSDAA-032G SDHC Card 15MB/s Class 4 Bulk,title: 8GB SDHC Secure Digital Card 15MB/s Class 4,False,False,False,True,False,False,True
title: PowerLine HD Day Night Cloud Camera Kit DCS-6045LKT PowerLine Day/Night Kit | D-Link,title: Full HD Wireless Day Night Network Camera DCS-2230L Full Camera | D-Link,False,False,False,False,False,False,True
title: Veho VCC-005 MUVI HD NPNG Body Camera/Action Camcorder Special Edition  Consumer Video Cameras | Unique Photo,title: Veho VCC-005-MUVI-HDPRO Mini HD Body Camera/Action Camcorder  Consumer Video Cameras | Unique Photo,False,False,False,True,True,True,True
title: Canon Digital 6D EF 24-105mm F4 Kit Kit | Infocus Camera & Imaging,title: Canon EOS 80D Digital SLR Camera w EF-S 18-134mm f 3.5-5.6 IS USM Lens Buy Canon at Connection Public Sector Solutions,False,False,False,False,False,False,True
title: Canon Deluxe Gadget Bag 100EG Camera Cases | EISF,title: Case Logic SLRC-202 Medium SLR Camera Bag (Black) Bags & Cases - Page 5 | EISF,False,False,False,False,True,False,True
title: GoPro Wi-Fi Remote  GoPro | Unique Photo,title: GoPro Floaty Backdoor Video - Page 6 | EISF,False,False,False,False,True,True,True
title: Canon LC-E6 - battery charger  Canon charger 3348B001 Digital Camera Accessories CDW.com,"title: Canon LC-E6 Battery Charger for Canon EOS 5D Mark II, 7D & 60D Digital SLR Accessories - Page 19 | EISF",True,True,True,True,True,True,True
title: Kupo 40 Black Extension Grip Arm Arm KG203511 - Filmtools,title: Ksix Selfie Extension For GoPro And Sport Cameras Motardinn Cameras kup i oferty,False,False,False,False,False,False,False
title: Logitech HD Webcam C930e  Logitech C930e - 960-000971 Webcams CDWG.com,title: Outdoor HD Wireless Day/Night Cloud Camera DCS-2332L Outdoor Camera | D-Link,False,False,False,False,False,False,True
title: Metabones Canon EF to Micro Four Thirds T Speed Booster ULTRA 0.71x (Black Matt),title: T Speed Booster Ultra 0.71x Adapter for Canon Full-Frame EF Mount Lens to Micro Four Thirds Camera,False,True,True,True,True,True,True
title: Fujifilm Instax MINI 25 Instant Film Camera (White) Film Photography - Page 5 | EISF,title: Canon Deluxe Gadget Bag 100EG Bags & Cases - Page 3 | EISF,False,False,False,False,False,False,True
title: Battery For Leica GEB111 Battery Total Station Products Leica Suppliers  Manufacturers and charger,title: Earthwise 18-Volt Lithium-Ion Battery Charger CHL91302,False,False,False,False,False,False,True
title: Canon 2400 Digital SLR Camera Case - Gadget Bag,title: Canon EF 50mm f/1.4 USM Standard Lens for Canon SLR Cameras - Fixed Lenses | Ultimate Camera Shop,False,False,False,False,False,False,True
title: GoPro HERO4 BLACK Video - Page 8 | EISF,title: GoPro Curved and Flat Adhesive Mounts  GoPro | Unique Photo,False,False,False,False,False,False,True
title: Battery For Leica GEB111 Battery Total Station Products Leica Suppliers  Manufacturers and charger,title: Battery For Leica GEB212 Battery Total Station Products Leica Suppliers  Manufacturers and charger,False,False,False,False,True,False,False
title: PYLE PLCMTR71 PLCMTR71 | They DJ Inc.,"title: Pyle PLCMTR71 Weatherproof Rearview Backup Camera System Kit with 7â€™â€™ LCD Color Monitor, IR Night Vision Camera, Dual DC Voltage 12-24 for Bus, Truck, Trailer, Van  Pyle Monito",True,True,True,True,True,True,True
title: Cámara Compacta SONY DSCWX350B,title: Sony - DSC-WX350 18.2-Megapixel Digital Camera Black,True,True,True,True,True,True,True
title: Manfrotto Pro Backpack 30  - Optics4Birding,title: Professional DSLR Digital Camera Backpack 30 from Manfrotto Manfrotto LN70268 - MB MP-BP-30BB | SCAN UK,True,True,True,True,True,True,True
"title: Canon EF 70-200mm f/4L USM Telephoto Zoom Lens (for SLR Cameras) , Canon Cameras) Overview - CNET",title: EF 70-200mm f/4.0L USM Lens,True,True,True,True,False,True,True
title: 360RIZE 360Orb 360° Plug-n-Play Rig for GoPro HERO4/3+/3 360Â°,"title: GoPro Hero Extended Battery Pack 4000mAh Epic L40GH - NOT COMPATIBLE with 4, 3/3+ 4 3/3+ Limefuel",False,False,False,False,False,False,True
title: 360RIZE 360Orb 360° Plug-n-Play Rig for GoPro HERO4/3+/3 360Â°,title: Kingston SDHC 32GB Clase 10 UHS-3 UHS-3 |PcComponentes,False,False,False,False,False,False,False
title: Sigma 10-20mm f/4-5.6 EX DC J Autofocus Lens for Pentax Digital SLR Cameras Cameras - Fumfie.com,title: Sigma Zoom Super Wide Angle 10-20mm f/4-5.6 EX DC J Autofocus Lens for Pentax Digital SLR Cameras Cameras - Fumfie.com,True,True,True,True,True,True,True
title: Sigma 10-20mm f/4-5.6 EX DC J Autofocus Lens for Pentax Digital SLR Cameras Cameras - Fumfie.com,title: Sigma Zoom Super Wide Angle 10-20mm f/4-5.6 EX DC J Autofocus Lens for Pentax Digital SLR Cameras Cameras - Fumfie.com,True,True,True,True,True,True,True
title: Sigma 10-20mm f/4-5.6 EX DC J Autofocus Lens for Pentax Digital SLR Cameras Cameras - Fumfie.com,title: Sigma Zoom Super Wide Angle 10-20mm f/4-5.6 EX DC J Autofocus Lens for Pentax Digital SLR Cameras Cameras - Fumfie.com,True,True,True,True,True,True,True
title: Sigma 10-20mm f/4-5.6 EX DC J Autofocus Lens for Pentax Digital SLR Cameras Cameras - Fumfie.com,title: Sigma Zoom Super Wide Angle 10-20mm f/4-5.6 EX DC J Autofocus Lens for Pentax Digital SLR Cameras Cameras - Fumfie.com,True,True,True,True,True,True,True
title: GoPro HERO4 Silver GoPro | All Fitness Gadgets,title: GoPro Wrist Housing for HERO3/ HERO3+ / HERO4  Miscellaneous Accessories | Unique Photo,False,False,False,False,False,False,False
title: Sony HD Video Recording HDRCX405 Handycam Camcorder Camcorders - Page 4 | Come As You Arts,title: Sony 4K HD Video Recording FDRAX33 Handycam Camcorder Camcorders | Gear Outlet,False,False,False,False,False,False,True
title: GoPro HERO5 Black Video Camera Camera | Sportsman's Warehouse,title: GoPro - HERO5 Black 4K Action Camera,True,True,True,True,True,True,True
title: Sony 4K HD Video Recording FDRAX33 Handycam Camcorder Camcorders - Page 9 | Come As You Arts,title: Sony FDR-AX33 Zwart - Prijzen @NL Tweakers@NL,True,False,True,True,True,True,True
title: GoPro HERO5 Black Video Camera Camera | Sportsman's Warehouse,title: Lumix DMC-GX85 Mirrorless Micro Four Thirds Digital Camera with 12-32mm Lens (Black),False,False,False,False,False,False,True
title: Veho VCC-005-MUVI-NPNG MUVI HD Mini Handsfree ActionCam with Waterproof Case and 8 GB Memory - No Proof Glory Edition Camcorders Page 3 | Come As You Arts,title: Veho VCC-005 MUVI HD NPNG Body Camera/Action Camcorder Special Edition  Consumer Video Cameras | Unique Photo,True,True,True,True,True,True,True
"title: NEW! LUMIX® DMC-TS20 16.1 Megapixel Digital Camera , DMC-TS20A  Panasonic Product Support - DMC-TS20A",title: Panasonic Lumix TS20 16.1 MP TOUGH Waterproof Digital Camera with 4x Optical Zoom (Blue) (OLD MODEL) Cameras | EISF,True,True,True,True,True,True,True
title: Nikon AF Fisheye-Nikkor 16mm f/2.8D  f/2.8D,title: Nikkor AF-D 16mm f/2.8 Fisheye Fisheye - Nikon Lenses Our brands,True,True,True,True,True,True,True
title: Vigilance Full HD Outdoor PoE Mini Bullet Camera DCS-4703E Vigilance Camera | D-Link UK,title: D-Link Vigilance DCS-4703E 3 Megapixel Network Camera - Colour  | Novatech,True,True,True,True,True,True,True
title: Sigma Zoom Super Wide Angle 10-20mm f/4-5.6 EX DC J Autofocus Lens for Pentax Digital SLR Cameras Cameras - Fumfie.com,title: Sigma 10-20mm f/3.5 EX-DC HSM Autofocus Zoom Lens For Canon Cameras Cameras - Fumfie.com,False,False,False,False,False,False,False
title: SanDisk Extreme Pro 95MB/s SDXC V30 UHS-I Card - 64GB,title: Sandisk Extreme Pro SDXC 95MB/s V30 UHS-I U3 64GB - Prijzen @NL Tweakers@NL,True,True,True,True,True,True,True
title: D-Link DCS-2330L - network surveillance camera  D-Link camera Physical Security & IP Cameras CDW.com,title: HD Wireless N Day/Night Outdoor Cloud Camera DCS-2330L HD Camera | D-Link,True,True,True,True,True,True,True
title: Nikon D5300 DSLR Camera with 18-55mm VR Lens Lens - Fumfie.com,title: Nikon D5300 24.2 Megapixel Digital SLR Camera with Lens - 18 mm 55 Black,True,True,True,True,True,False,True
title: Sony - Alpha a6000 Mirrorless Camera with 16-50mm and 55-210mm Lenses Black,title: Lumix DMC-GX85 Mirrorless Micro Four Thirds Digital Camera with 12-32mm Lens (Black),False,False,False,False,False,False,True
title: Sandisk Extreme microSDHC 64Gb Type 10 10 comprar e ofertas na Swiminn,title: Korg electribe 2SRD Music Production Sampler Sampler | PSSL,False,False,False,False,True,False,True
title: Sony - Alpha a6000 Mirrorless Camera with 16-50mm and 55-210mm Lenses Black,title: Sony - Handycam CX405 Flash Memory Camcorder Black,False,False,False,False,False,False,True
"title: Pyle PLCMTR71 Weatherproof Rearview Backup Camera System Kit with 7â€™â€™ LCD Color Monitor, IR Night Vision Camera, Dual DC Voltage 12-24 for Bus, Truck, Trailer, Van  Pyle Monito","title: Foscam FI9901EP 4MP HD Outdoor PoE Bullet Security IP Camera, IP66 Weatherproof, WDR 2.0, 6X Digital Zoom, IR 20m Night Vision, Motion Detection, Alert Push सीसीटीवी कैमरा सी टी वी India Camera कैमरे दाम",False,False,False,False,False,False,True
title: Sony DSCWX350 18 MP Digital Camera (Black) Digital Cameras - Page 11 | EISF,title: Sony - DSC-WX350 18.2-Megapixel Digital Camera Black,True,True,True,True,True,True,True
title: Sony a6000 w/16-50mm Power Zoom (Silver) (ILCE6000L/S) w/ Lexar Professional 633x 64GB SDXC Card  Aden Camera Digital Cameras Toronto Canada Store  Sony <br/> | SLR,title: Panasonic Lumix DMC-FZ200 Digital Camera (FZ200) (FZ200) - Fumfie.com,False,False,False,False,False,False,False
title: Canon - Speedlite 270EX II External Flash,title: Canon Speedlite 270EX II  Canon II Flash for digital SLRs and select PowerShot cameras at Crutchfield.com,True,True,True,True,True,True,True
title: Transcend 16GB 1000x Compact Flash Card  Memory & Storage | Unique Photo,title: Westcott 36 Inch Rapid Box Octa XL with Profoto Speedring  Lighting Accessories | Unique Photo,False,False,False,False,False,False,True
title: Transcend 32GB SDHC Class 10 Flash Memory Card Up to 30MB/s (TS32GSDHC10) Camera & Photo Accessories - Page 3 | All Tech Toys,title: Transcend Ultimate - flash memory card 4 GB SDHC  Transcend SDHC TS4GSDHC10 Flash Memory Cards CDW.com,False,False,False,False,False,False,False
title: Nikon AF-S 16-35mm f/4G ED VR - Prijzen @NL Tweakers@NL,title: Sigma 70-300mm f/4-5.6 APO Macro Autofocus Lens for Nikon AF-D AF-D - Fumfie.com,False,False,False,False,False,False,False
title: Fujifilm Instax Mini Film Twin Pack (20 Pictures)  | Unique Photo,"title: Fujifilm instax mini Instant Film, Twin Pack (20 Exposures) Exposures) (16437396) Film",True,True,True,True,True,True,True
title: Manfrotto Pro Backpack 30  - Optics4Birding,title: Manfrotto HDSLR Clamp-On Remote Control - MVR911ECCN  Manfrotto MVR911ECCN | WTS Broadcast,False,False,False,False,False,False,False
title: Canon Lithium-Ion Battery Pack LP-E10 for EOS Rebel T3 Digital Camera (5108B002),title: Canon LP-E10 Li-ion Battery (For Rebel T3) Aden Camera   Canon T3) | Digital SLR Cameras Toronto Canada Store,True,True,True,True,True,True,True
title: NETGEAR - Adjustable Mount for Most Arlo Security Cameras White,title: Netgear Arlo Wireless Portable Night Vision 2x HD Camera Security System System LN63707 - VMS3230-100EUS | SCAN UK,False,False,True,False,True,False,True
title: Transcend 128GB SDXC Class 10 UHS-1 Flash Memory Card Up to 90MB/s (TS128GSDXC10U1) Camera & Photo Accessories - Page 31 | All Tech Toys,title: Transcend 128GB SDXC Class 10 UHS-1 Flash Memory Card Up to 90MB/s (TS128GSDXC10U1) Accessories - Page 7 | EISF,True,True,True,True,True,True,True
title: Nilox F60 Reloaded Full HD Wifi Wifi comprar e ofertas na Scubastore,title: Nilox Remote Control F60 Evo Evo comprar y ofertas en Runnerinn,False,False,False,False,False,False,False
title: PNY Elite Performance - flash memory card 512 GB SDXC UHS-I  PNY UHS-I P-SDX512U3H-GE Flash Memory Cards CDW.com,title: Transcend Ultimate - flash memory card 64 GB SDXC UHS-I  Transcend UHS-I TS64GSDXC10U1 Flash Memory Cards CDW.com,False,False,False,False,False,False,True
title: PNY Elite Performance - flash memory card 512 GB SDXC UHS-I  PNY UHS-I P-SDX512U3H-GE Flash Memory Cards CDW.com,title: Transcend Ultimate - flash memory card 128 GB SDXC UHS-I  Transcend UHS-I TS128GSDU3 Flash Memory Cards CDW.com,False,False,False,False,False,False,False
title: Canon EOS 6D Kit and a 24-105mm f/4L lens at Crutchfield.com  GPS  Canon Kit 20.2-megapixel full-frame digital SLR camera with Wi-Fi®,title: Canon Digital 6D EF 24-105mm F4 Kit Kit | Infocus Camera & Imaging,True,True,True,True,True,False,True
title: Canon EOS Rebel T5 with 18-55mm and 75-300mm Lenses Digital Cameras - Page 18 | EISF,title: Sandisk Extreme CompactFlash Memory Card - 64 GB (SDCFXS-064G-A46) Accessories Page 2271 | EISF,False,False,False,False,False,False,True
title: SanDisk 64GB Class 4 SDXC Flash Memory Card- SDSDB-064G-B35 (Label May Change) Accessories | Ultimate Camera Shop,title: Transcend 64GB SDXC Class 10 Flash Memory Card Up to 30MB/s (TS64GSDXC10E) Accessories | Ultimate Camera Shop,False,False,False,False,False,False,False
title: GoPro HERO4 Silver Sports & Action Video Cameras | Gear Outlet,title: GoPro HERO4 BLACK Body Mounted Cameras | Video Gear Outlet,False,False,False,False,False,False,True
title: GoPro HDMI Cable Cable AHDMC-301 - Filmtools,title: GoPro Camera HERO+ LCD HD Video Recording Camera Body Mounted Cameras | Gear Outlet,False,False,False,False,False,False,False
title: Avermedia U50 USB FlexArm Document Camera VISIONU50 AVerMedia Technologies Inc. Document Cameras - Page 3 | Office Outlet Express,title: AVerVision U50 USB FlexArm Document Camera Document Cameras - Page 4 | Office Supplies Authority,True,True,True,True,True,True,True
title: SanDisk 256 GB CF Extreme Pro 160MB/s - SDCFXPS-256G-X46  SanDisk SDCFXPS-256G-X46 | WTS Broadcast,title: SanDisk Extreme Pro - flash memory card 32 GB CompactFlash  SanDisk CompactFlash SDCFXPS-032G-A46 Flash Memory Cards CDW.com,False,False,False,False,False,False,True
title: Sony Cyber-Shot DSC-RX100 (Black) Aden Camera  Digital Cameras  Sony (Black) | SLR Toronto Canada Store,title: Canon Speedlite 270EX II  Canon II | Digital SLR Camera Toronto Canada Store Cameras Aden,False,False,False,False,False,False,False
title: Sony a6000 w/16-50mm Power Zoom (Silver) (ILCE6000L/S) w/ Lexar Professional 633x 64GB SDXC Card  Aden Camera Digital Cameras Toronto Canada Store  Sony <br/> | SLR,"title: PoE MPEG-4 Network Camera , BB-HCM581A-W  Panasonic - Camera",False,False,False,False,False,False,True
title: Transcend 32GB CompactFlash Memory Card 133x (TS32GCF133) Accessories - Page 1531 | EISF,title: Sandisk Extreme CompactFlash Memory Card - 64 GB (SDCFXS-064G-A46) Accessories Page 2271 | EISF,False,False,False,False,False,False,False
title: Netgear HD Security Camera Adjustable Mount Mount (VMA1000-10000S),title: Netgear HD Arlo 360 Swivel White Security Camera Adjustable Mount Mount LN63704 - VMA1000-10000S | SCAN UK,True,True,True,False,True,True,True
