left,right,match,prompt,completion
title: Benq ZOWIE RL2455 24 Full HD TN Grey computer monitor 4718755065736) Product data Benq monitor monitors (9H.LF4LB.DBE,title: Zowie RL2455 E-Sports 24 Full HD LED Monitor 24 inch 1ms Monitor - HDMI 9H.LF4LB.DBE | CCL Computers Speakers,True,"title: Benq ZOWIE RL2455 24 Full HD TN Grey computer monitor 4718755065736) Product data Benq monitor monitors (9H.LF4LB.DBE

###

title: Zowie RL2455 E-Sports 24 Full HD LED Monitor 24 inch 1ms Monitor - HDMI 9H.LF4LB.DBE | CCL Computers Speakers

###

Same product?", yes
title: TP-LINK 8-Port Fast Ethernet Desktop Switch (TL-SF1008D) Switches | Laptops Outlet Direct,title: Tripp Lite 750VA 450W UPS Eco Green Battery Back Up Compact 120V USB RJ11  Tripp RJ11 - ECO750UPS UPS/Battery Backups CDW.com,False,"title: TP-LINK 8-Port Fast Ethernet Desktop Switch (TL-SF1008D) Switches | Laptops Outlet Direct

###

title: Tripp Lite 750VA 450W UPS Eco Green Battery Back Up Compact 120V USB RJ11  Tripp RJ11 - ECO750UPS UPS/Battery Backups CDW.com

###

Same product?", no
"title: Fire, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Black (B00TSUGXKE | SV98LN 848719062854) Display Offers Budkoo! Best Deals Fire Wi-Fi",title: Apple iPad mini 4 Wi-Fi - tablet 128 GB 7.9  Apple 7.9 MK9P2LL/A Tablets CDW.com,False,"title: Fire, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Black (B00TSUGXKE | SV98LN 848719062854) Display Offers Budkoo! Best Deals Fire Wi-Fi

###

title: Apple iPad mini 4 Wi-Fi - tablet 128 GB 7.9  Apple 7.9 MK9P2LL/A Tablets CDW.com

###

Same product?", no
title: Corsair Vengeance SODIMM 8GB (2x4GB) DDR3 PC3-12800C9 1600MHz Kit (CMSX8GX3M2A1600C9) ▷ Corsair 1600MH… | OcUK,title: 364622-B23 HP 300-GB 10K FC-AL HDD Null,False,"title: Corsair Vengeance SODIMM 8GB (2x4GB) DDR3 PC3-12800C9 1600MHz Kit (CMSX8GX3M2A1600C9) ▷ Corsair 1600MH… | OcUK

###

title: 364622-B23 HP 300-GB 10K FC-AL HDD Null

###

Same product?", no
title: 672631-B21 HP 16GB (1x16GB) SDRAM DIMM Null,title: 404712-001 HP 146-GB U320 SCSI 15K Null,False,"title: 672631-B21 HP 16GB (1x16GB) SDRAM DIMM Null

###

title: 404712-001 HP 146-GB U320 SCSI 15K Null

###

Same product?", no
"title: WD Red NAS 3.5 Internal HDD SATA 6Gb/s, 2TB 6Gb/s 2TB - WD | CPC",title: Buy Online | WD Red WD20EFRX 2TB Desktop Internal Hard Drive Price in India,True,"title: WD Red NAS 3.5 Internal HDD SATA 6Gb/s, 2TB 6Gb/s 2TB - WD | CPC

###

title: Buy Online | WD Red WD20EFRX 2TB Desktop Internal Hard Drive Price in India

###

Same product?", yes
"title: Intel Processor, Core i7-7700K i7-7700K (BX80677I77700K) Processor",title: Intel - Core i3-6100 3.7GHz Dual-Core Processor Processor (BX80662I36100) PCPartPicker,False,"title: Intel Processor, Core i7-7700K i7-7700K (BX80677I77700K) Processor

###

title: Intel - Core i3-6100 3.7GHz Dual-Core Processor Processor (BX80662I36100) PCPartPicker

###

Same product?", no
title: WD Black 2TB Performance Desktop Hard Disk Drive - 7200 RPM SATA 6 Gb/s 64MB Cache 3.5 Inch WD2003FZEX  WD WD200,title: HDD Black 2TB 3.5 SATA 6Gbs 64MB Cables Tu tienda online líder con precios más baratos!,True,"title: WD Black 2TB Performance Desktop Hard Disk Drive - 7200 RPM SATA 6 Gb/s 64MB Cache 3.5 Inch WD2003FZEX  WD WD200

###

title: HDD Black 2TB 3.5 SATA 6Gbs 64MB Cables Tu tienda online líder con precios más baratos!

###

Same product?", yes
title: AMD Ryzen Threadripper 1950X Box,title: AMD Ryzen Threadripper Sixteen Core 1950X 4.00GHz (Socket TR4) Processor - Retail ▷ AMD TR… | OcUK,True,"title: AMD Ryzen Threadripper 1950X Box

###

title: AMD Ryzen Threadripper Sixteen Core 1950X 4.00GHz (Socket TR4) Processor - Retail ▷ AMD TR… | OcUK

###

Same product?", yes
title: HPE Smart Array P421/2GB with FBWC - storage controller (RAID) SATA 6Gb/s  HPE 6Gb/s 631674-B21 RAID Controllers CDW.com,title: Transcend TS64GUSDU1 - flash memory card 64 GB SDXC UHS-I  Transcend UHS-I Flash Memory Cards CDW.com,False,"title: HPE Smart Array P421/2GB with FBWC - storage controller (RAID) SATA 6Gb/s  HPE 6Gb/s 631674-B21 RAID Controllers CDW.com

###

title: Transcend TS64GUSDU1 - flash memory card 64 GB SDXC UHS-I  Transcend UHS-I Flash Memory Cards CDW.com

###

Same product?", no
