left,right,match,prompt,completion,pred_ditto_new_wdc_small,pred_ditto_new_wdc_medium,pred_ditto_new_wdc_large
"title: Epson T591800 Matte Black 700ml Ink Cartridge for Stylus Pro 11880 
price: 424.00 
priceCurrency: CAD","title: Epson 774 (140 ml) Black Pigment Ink Bottle for EcoTank ET-4550 
description: For perfect results everytime, Epson genuine ink gives a durable and vibrant outcome for all your documents and photos. Whether you are creating colourful school projects, printing web pages, or producing your own glossy photo album, Epson offers you the best results from your Epson Printer. 
price: 1.121E1 
priceCurrency: GBP",False,"title: Epson T591800 Matte Black 700ml Ink Cartridge for Stylus Pro 11880 
price: 424.00 
priceCurrency: CAD

###

title: Epson 774 (140 ml) Black Pigment Ink Bottle for EcoTank ET-4550 
description: For perfect results everytime, Epson genuine ink gives a durable and vibrant outcome for all your documents and photos. Whether you are creating colourful school projects, printing web pages, or producing your own glossy photo album, Epson offers you the best results from your Epson Printer. 
price: 1.121E1 
priceCurrency: GBP

###

Same product?", no,False,False,False
"title: Ubiquiti Camera UniFi Video G3-FLEX Camera 3 Pack 
description: Ubiquiti Camera UniFi Video G3-FLEX Camera 3 Pack 
price: 361.10 
priceCurrency: AUD","brand: UBIQUITI 
title: Ubiquiti UVC-G3-FLEX UniFi Video Flex Manually Adjustable 1080p PoE Indoor/Outdoor IP Camera (3 Pack) 
description: Ubiquiti UVC-G3-FLEX-3 UniFi Video Flex PTZ 1080p PoE Indoor/Outdoor IP Camera (3 Pack) 
price: 195.91 
priceCurrency: GBP",True,"title: Ubiquiti Camera UniFi Video G3-FLEX Camera 3 Pack 
description: Ubiquiti Camera UniFi Video G3-FLEX Camera 3 Pack 
price: 361.10 
priceCurrency: AUD

###

brand: UBIQUITI 
title: Ubiquiti UVC-G3-FLEX UniFi Video Flex Manually Adjustable 1080p PoE Indoor/Outdoor IP Camera (3 Pack) 
description: Ubiquiti UVC-G3-FLEX-3 UniFi Video Flex PTZ 1080p PoE Indoor/Outdoor IP Camera (3 Pack) 
price: 195.91 
priceCurrency: GBP

###

Same product?", yes,True,True,True
"brand: DJI Consumer 
title: DJI Inspire 2 | Matrice 200 | DJI Matrice 210 Charging Hub | Spare Part 8 
price: 109.00 
priceCurrency: EUR","title: Fujifilm 8-16mm f2.8 XF R LM WR Lens 
description: X-Mount Lens/APS-C Format12-24mm (35mm Equivalent)Aperture Range: f/2.8 to f/22Three ED and Three Aspherical ElementsNano-GI Lens CoatingsInternal Focus System11-Seal Weather-Resistant ConstructionOperates in temperatures as low as 14°F/-10°CThe XF8-16mmF2.8 R LM WR is a fast ultra-wide angle zoom lens that has a constant maximum aperture of F2.8 and is equivalent to 12-24mm in the 35mm format. It complements the other constant F2.8 zoom lenses (XF16-55mmF2.8 R LM WR and XF50-140mmF2.8 R LM OIS WR) to create a premium trio of lenses that covers the focal lengths equivalent from 12mm all the way to 213mm in the 35mm format. The lens’ outstanding edge-to-edge image-resolving performance and F2.8 maximum aperture makes this product a perfect choice for landscape and architecture photography with an emphasized sense of perspective, interior photography at restaurants and hotels, as well as nightscape and astrophotography.The FUJINON XF8-16mmF2.8 R LM WR lens is able to utilize
price: 1695 
priceCurrency: GBP",False,"brand: DJI Consumer 
title: DJI Inspire 2 | Matrice 200 | DJI Matrice 210 Charging Hub | Spare Part 8 
price: 109.00 
priceCurrency: EUR

###

title: Fujifilm 8-16mm f2.8 XF R LM WR Lens 
description: X-Mount Lens/APS-C Format12-24mm (35mm Equivalent)Aperture Range: f/2.8 to f/22Three ED and Three Aspherical ElementsNano-GI Lens CoatingsInternal Focus System11-Seal Weather-Resistant ConstructionOperates in temperatures as low as 14°F/-10°CThe XF8-16mmF2.8 R LM WR is a fast ultra-wide angle zoom lens that has a constant maximum aperture of F2.8 and is equivalent to 12-24mm in the 35mm format. It complements the other constant F2.8 zoom lenses (XF16-55mmF2.8 R LM WR and XF50-140mmF2.8 R LM OIS WR) to create a premium trio of lenses that covers the focal lengths equivalent from 12mm all the way to 213mm in the 35mm format. The lens’ outstanding edge-to-edge image-resolving performance and F2.8 maximum aperture makes this product a perfect choice for landscape and architecture photography with an emphasized sense of perspective, interior photography at restaurants and hotels, as well as nightscape and astrophotography.The FUJINON XF8-16mmF2.8 R LM WR lens is able to utilize
price: 1695 
priceCurrency: GBP

###

Same product?", no,False,False,False
"title: Steering Stem Mount Base - RAM 342 
description: The RAM fork stem mount is one of the cleanest ways to mount small electronics on your motorcycle. Simply slide the assembly into the hole of the stem and tighten the machine screw to create a tight fit. This part is designed to fit into the cylindrical bore wall of fork stems and will work with stems that measure from 12 -20mm and 28mm or .5” – 1.10” at the following intervals: Metric Standard 12mm .5” 14mm .55” 16mm .63” 18mm .71” 20mm .79” 28mm 1.10” Material:Powder Coated Marine Grade Aluminum Ball Size:1\ Rubber Ball \B\ Size Note:RAM recommends that you review the installation instructions for this part prior to ordering. RAM 342 Stem Mount Installation Instructions Aprilia 2015 Aprilia RSV4 Factory APRC ABS 2014 Aprilia RSV4 Factory APRC ABS 2015 Aprilia RSV4 R APRC ABS 2014 Aprilia RSV4 R APRC ABS BMW 2007 BMW R1200ST 2006 BMW R1200ST 2005 BMW R1200ST 2015 BMW S1000RR 2014 BMW S1000RR 2013 BMW S1000RR 2012 BMW S1000RR 2011 BMW S1000RR 2010 BMW S1000RR 2009 BMW S100
price: 15.95 
priceCurrency: USD","title: Blaze Professional 34-Inch Grill Cart 
description: Blaze 34-Inch Burner Professional Grill CartThis Blaze stainless steel grill cart is specifically designed to house the Blaze Professional 3 burner gas grill. The two stainless steel side shelves keep your BBQ tools at hand and provide a convenient work area while you cook.The Blaze grill cart also features one front door with a rounded handle to access the cabinet below the grill where you can store your propane tank. It also features two drawers with rounded handles to store your grill cover and BBQ accessories.The cart is warranted for a lifetime to the original owner against defects in manufacturing and workmanship. This warranty extends to the original purchaser against manufacture defects for products purchased for ordinary single-family home use.GRILL OVERVIEWStainless steel construction is durable in outdoor conditionsTwo drawers add practical storage for your BBQ accessories2 folding side shelves provide a convenient work area while grilling4 heavy duty casters al
price: 1099.99 
priceCurrency: USD",False,"title: Steering Stem Mount Base - RAM 342 
description: The RAM fork stem mount is one of the cleanest ways to mount small electronics on your motorcycle. Simply slide the assembly into the hole of the stem and tighten the machine screw to create a tight fit. This part is designed to fit into the cylindrical bore wall of fork stems and will work with stems that measure from 12 -20mm and 28mm or .5” – 1.10” at the following intervals: Metric Standard 12mm .5” 14mm .55” 16mm .63” 18mm .71” 20mm .79” 28mm 1.10” Material:Powder Coated Marine Grade Aluminum Ball Size:1\ Rubber Ball \B\ Size Note:RAM recommends that you review the installation instructions for this part prior to ordering. RAM 342 Stem Mount Installation Instructions Aprilia 2015 Aprilia RSV4 Factory APRC ABS 2014 Aprilia RSV4 Factory APRC ABS 2015 Aprilia RSV4 R APRC ABS 2014 Aprilia RSV4 R APRC ABS BMW 2007 BMW R1200ST 2006 BMW R1200ST 2005 BMW R1200ST 2015 BMW S1000RR 2014 BMW S1000RR 2013 BMW S1000RR 2012 BMW S1000RR 2011 BMW S1000RR 2010 BMW S1000RR 2009 BMW S100
price: 15.95 
priceCurrency: USD

###

title: Blaze Professional 34-Inch Grill Cart 
description: Blaze 34-Inch Burner Professional Grill CartThis Blaze stainless steel grill cart is specifically designed to house the Blaze Professional 3 burner gas grill. The two stainless steel side shelves keep your BBQ tools at hand and provide a convenient work area while you cook.The Blaze grill cart also features one front door with a rounded handle to access the cabinet below the grill where you can store your propane tank. It also features two drawers with rounded handles to store your grill cover and BBQ accessories.The cart is warranted for a lifetime to the original owner against defects in manufacturing and workmanship. This warranty extends to the original purchaser against manufacture defects for products purchased for ordinary single-family home use.GRILL OVERVIEWStainless steel construction is durable in outdoor conditionsTwo drawers add practical storage for your BBQ accessories2 folding side shelves provide a convenient work area while grilling4 heavy duty casters al
price: 1099.99 
priceCurrency: USD

###

Same product?", no,False,True,False
"title: GPSMAP® 66s Multisatellite handheld with sensors 
description: Premium GPS handheld with BirdsEye Satellite Imagery subscription and TopoActive mapsLarge, 3” sunlight-readable colour display for easy viewingMultiple Global Navigation Satellite Systems (GNSS) support to track your travels in more challenging environments than GPS alone, plus three-axis compass and barometric altimeterAccess to BirdsEye satellite imagery with direct-to-device downloads and no annual subscription, and preloaded TopoActive European mapsExpanded wireless connectivity supports Active Weather for up-to-date forecasts and animated weather radar, and Geocaching Live for mobile syncing and updatesCompatible with Garmin Explore™website and app to help you manage tracks, routes and waypoints, and review statistics from the fieldLED flashlight function plus up to 16 hours of battery life in GPS mode and 1 week in expedition mode for fewer chargesRead MoreNavigate your next outdoor adventure with the GPSMAP 66 series. Whether you’re hiking, mountain biking, climbin
price: 399.99 
priceCurrency: EUR","title: TP-LINK 300Mbps wireless n router - router wireless - switch a 4 porte - 802.11b/g/n (draft 2.0) - 2 
description: ROUTER ETH 300-N 1WAN 4LAN 
price: 16.39 
priceCurrency: EUR",False,"title: GPSMAP® 66s Multisatellite handheld with sensors 
description: Premium GPS handheld with BirdsEye Satellite Imagery subscription and TopoActive mapsLarge, 3” sunlight-readable colour display for easy viewingMultiple Global Navigation Satellite Systems (GNSS) support to track your travels in more challenging environments than GPS alone, plus three-axis compass and barometric altimeterAccess to BirdsEye satellite imagery with direct-to-device downloads and no annual subscription, and preloaded TopoActive European mapsExpanded wireless connectivity supports Active Weather for up-to-date forecasts and animated weather radar, and Geocaching Live for mobile syncing and updatesCompatible with Garmin Explore™website and app to help you manage tracks, routes and waypoints, and review statistics from the fieldLED flashlight function plus up to 16 hours of battery life in GPS mode and 1 week in expedition mode for fewer chargesRead MoreNavigate your next outdoor adventure with the GPSMAP 66 series. Whether you’re hiking, mountain biking, climbin
price: 399.99 
priceCurrency: EUR

###

title: TP-LINK 300Mbps wireless n router - router wireless - switch a 4 porte - 802.11b/g/n (draft 2.0) - 2 
description: ROUTER ETH 300-N 1WAN 4LAN 
price: 16.39 
priceCurrency: EUR

###

Same product?", no,False,False,False
"title: Tissot T111.417.37.441.04 T-Race Cycling Chronograph Black PVD 44mm 
description: The Tissot T-Race Cycling celebrates our passion for cycling and is a must-have for all cycling fans ! This sporty watch features many details inspired by racing bikes and there are several choices of colours. The pushers look and operate like brake levers. The colour stripes on the straps and the lugs depict the fork of the bike with the wheel running through in black. Water resistance up to a pressure of 10 bar (100 m / 330 ft) Case Material 316L stainless steel case with grey and black PVD coating with carbon composite Length 44.5 Width 44.5 Thickness 11.4 Case options Aluminium bezel, Engraved case back Crystal Scratch-resistant sapphire crystal Dial color bronze Movement Swiss quartz Model ETA G10.212 Caliber 13 1/4''' Caliber Diameter (mm): 29,8 Jewels 4 Battery battery type Renata 394 Dial HMsSD Functions 30-minutes and 1/10 of a second counters, central 60-seconds chronograph hand, ADD and SPLIT functions Strap details Silicone Strap color Black, Orange, grey 
price: 11820000 
priceCurrency: VND","brand: Tissot 
title: Tissot Mens T-Race Cycling Dark Blue Watch T111.417.37.441.06 
description: T-RACE DRK SS BLU RUB SW 
price: 385.95 
priceCurrency: GBP",False,"title: Tissot T111.417.37.441.04 T-Race Cycling Chronograph Black PVD 44mm 
description: The Tissot T-Race Cycling celebrates our passion for cycling and is a must-have for all cycling fans ! This sporty watch features many details inspired by racing bikes and there are several choices of colours. The pushers look and operate like brake levers. The colour stripes on the straps and the lugs depict the fork of the bike with the wheel running through in black. Water resistance up to a pressure of 10 bar (100 m / 330 ft) Case Material 316L stainless steel case with grey and black PVD coating with carbon composite Length 44.5 Width 44.5 Thickness 11.4 Case options Aluminium bezel, Engraved case back Crystal Scratch-resistant sapphire crystal Dial color bronze Movement Swiss quartz Model ETA G10.212 Caliber 13 1/4''' Caliber Diameter (mm): 29,8 Jewels 4 Battery battery type Renata 394 Dial HMsSD Functions 30-minutes and 1/10 of a second counters, central 60-seconds chronograph hand, ADD and SPLIT functions Strap details Silicone Strap color Black, Orange, grey 
price: 11820000 
priceCurrency: VND

###

brand: Tissot 
title: Tissot Mens T-Race Cycling Dark Blue Watch T111.417.37.441.06 
description: T-RACE DRK SS BLU RUB SW 
price: 385.95 
priceCurrency: GBP

###

Same product?", no,True,True,True
"title: Epson C13T908240 T9082 Cyan Ink 39ml 
description: Who wants to spend time thinking about their printer? It should just work. We've developed our inks and printers to work in harmony, so that they'll do just that and give you consistent and reliable results without any fuss. That's because we invest in extensive research, high-tech manufacturing facilities and put our products through rigorous tests.But naturally, we can't say the same for inks that we've not created. There's no assurance from Epson that so-called compatible inks or remanufactured cartridges will deliver.Are you willing to put yourself at risk of unreliable yields and poor prints? Or worse, the cartridges failing to work or the printer breaking? Secure yourself against potential printing pitfalls by using genuine Epson ink. Type: Inkjet Cartridges, Brand: Epson, Colour: Cyan, Yield: Up to 4 000 pages, Ink Volume: 39ml, For use in: Epson WorkForce Pro WF-6090DW, WF-6590DWF Barcode: 8715946548753VOW code: EP54875","brand: Epson 
title: C13T596800 Matte Black Ink Epson 350ml 
description: Epson Stylus Pro 79 + 99 series -350ml – Matt Black . Epson UltraChrome HDR represents our latest generation of pigment ink technology. Now utilizing ten colors - including an all-new Orange and Green - Epson UltraChrome HDR ink produces the widest color gamut ever from an Epson Stylus Pro printer. Even more remarkable, combining Epson UltraChrome HDR ink with our new Epson AccuPhoto™ HDR screening technology dramatically raises the level of print quality and once again sets a new benchmark standard for photographic reproduction. The advanced Epson MicroPiezo TFP print head is capable of producing higher quality prints, at speeds almost twice as fast as our previous generation. And, with our latest ink-repelling coating and auto nozzle verification technologies, clogged nozzles are virtually eliminated. 
price: 140.83 
priceCurrency: GBP",False,"title: Epson C13T908240 T9082 Cyan Ink 39ml 
description: Who wants to spend time thinking about their printer? It should just work. We've developed our inks and printers to work in harmony, so that they'll do just that and give you consistent and reliable results without any fuss. That's because we invest in extensive research, high-tech manufacturing facilities and put our products through rigorous tests.But naturally, we can't say the same for inks that we've not created. There's no assurance from Epson that so-called compatible inks or remanufactured cartridges will deliver.Are you willing to put yourself at risk of unreliable yields and poor prints? Or worse, the cartridges failing to work or the printer breaking? Secure yourself against potential printing pitfalls by using genuine Epson ink. Type: Inkjet Cartridges, Brand: Epson, Colour: Cyan, Yield: Up to 4 000 pages, Ink Volume: 39ml, For use in: Epson WorkForce Pro WF-6090DW, WF-6590DWF Barcode: 8715946548753VOW code: EP54875

###

brand: Epson 
title: C13T596800 Matte Black Ink Epson 350ml 
description: Epson Stylus Pro 79 + 99 series -350ml – Matt Black . Epson UltraChrome HDR represents our latest generation of pigment ink technology. Now utilizing ten colors - including an all-new Orange and Green - Epson UltraChrome HDR ink produces the widest color gamut ever from an Epson Stylus Pro printer. Even more remarkable, combining Epson UltraChrome HDR ink with our new Epson AccuPhoto™ HDR screening technology dramatically raises the level of print quality and once again sets a new benchmark standard for photographic reproduction. The advanced Epson MicroPiezo TFP print head is capable of producing higher quality prints, at speeds almost twice as fast as our previous generation. And, with our latest ink-repelling coating and auto nozzle verification technologies, clogged nozzles are virtually eliminated. 
price: 140.83 
priceCurrency: GBP

###

Same product?", no,False,False,False
"title: Ultra Pro - Board Game Sleeves 50ct - Tarot Sized - 70mm x 120mm 
description: Ultra Pro - Board Game Sleeves 50ct - Tarot Sized - 70mm x 120mm Ultra Pro $3.25 401 Games 
price: 3.25 
priceCurrency: CAD","brand: Cooler Master 
title: Cooler Master Corsair ML120 PRO LED Red 120mm Fan CO-9050042-WW 
price: 44.99 
priceCurrency: CAD",False,"title: Ultra Pro - Board Game Sleeves 50ct - Tarot Sized - 70mm x 120mm 
description: Ultra Pro - Board Game Sleeves 50ct - Tarot Sized - 70mm x 120mm Ultra Pro $3.25 401 Games 
price: 3.25 
priceCurrency: CAD

###

brand: Cooler Master 
title: Cooler Master Corsair ML120 PRO LED Red 120mm Fan CO-9050042-WW 
price: 44.99 
priceCurrency: CAD

###

Same product?", no,False,False,False
"title: Lezyne Steel Floor Drive Tall 3.5 Floor Pump Abs-1 Pro Chuck 
description: * 85mm Taller* High-pressure floor pump* Base made from aluminum, barrel and piston made from steel and handle made from varnished wood* -02: 2.5'' gauge, -03: 3.5'' gauge* Presta and Schrader compatible with out flipping the chuck* Head: ABS-1 Pro 
price: 64.99 
priceCurrency: USD","title: Raymond Weil 5485-STC-00300 
price: 192300 
priceCurrency: KZT",False,"title: Lezyne Steel Floor Drive Tall 3.5 Floor Pump Abs-1 Pro Chuck 
description: * 85mm Taller* High-pressure floor pump* Base made from aluminum, barrel and piston made from steel and handle made from varnished wood* -02: 2.5'' gauge, -03: 3.5'' gauge* Presta and Schrader compatible with out flipping the chuck* Head: ABS-1 Pro 
price: 64.99 
priceCurrency: USD

###

title: Raymond Weil 5485-STC-00300 
price: 192300 
priceCurrency: KZT

###

Same product?", no,False,False,False
"title: OKI B401/Mb441/451 Bk High C dufthylki 2.5K 
description: Nánari lýsing frá framleiðanda:Barcode: 5031713055389Compatible Brand: OkiCompatible Printer(s): B401 Desktop Mono Printers and MB441/MB451/MB451w Multifunction Mono PrintersEC Commodity Code: 84439990Form Factor: CartridgeModel Name: 44992402New/Remanufactured: NewOriginal/Compatible: Original ManufacturerProduct Type: Toner CartridgeToner Colour(s): BlackTotal: 1Yield: 2,500OKI Toner Cartridge for B401/MB441/MB451 Mono PrintersDuty Cycle: Approx. 2,500 pages @ 5% coverageColour - Black 
price: 20900 
priceCurrency: ISK","title: 9MM BLACK ON WHITE FLEXIBLE TZE TAPE 
description: Mpn: TZE-FX221Vendor:Brother9MM BLACK ON WHITE FLEXIBLE TZE TAPEBrother P-Touch TZEFX221 9mm- Black on WhiteExtensive testing has been performed to ensure that P-touch TZ label is incredibly durable under all kinds of conditions. It holds up extraordinarily well - and stays crisp, legible and affixed - even when subjected to abrasion, extreme temperature, industrial chemicals and sunlight. 
price: 32.00 
priceCurrency: AUD",False,"title: OKI B401/Mb441/451 Bk High C dufthylki 2.5K 
description: Nánari lýsing frá framleiðanda:Barcode: 5031713055389Compatible Brand: OkiCompatible Printer(s): B401 Desktop Mono Printers and MB441/MB451/MB451w Multifunction Mono PrintersEC Commodity Code: 84439990Form Factor: CartridgeModel Name: 44992402New/Remanufactured: NewOriginal/Compatible: Original ManufacturerProduct Type: Toner CartridgeToner Colour(s): BlackTotal: 1Yield: 2,500OKI Toner Cartridge for B401/MB441/MB451 Mono PrintersDuty Cycle: Approx. 2,500 pages @ 5% coverageColour - Black 
price: 20900 
priceCurrency: ISK

###

title: 9MM BLACK ON WHITE FLEXIBLE TZE TAPE 
description: Mpn: TZE-FX221Vendor:Brother9MM BLACK ON WHITE FLEXIBLE TZE TAPEBrother P-Touch TZEFX221 9mm- Black on WhiteExtensive testing has been performed to ensure that P-touch TZ label is incredibly durable under all kinds of conditions. It holds up extraordinarily well - and stays crisp, legible and affixed - even when subjected to abrasion, extreme temperature, industrial chemicals and sunlight. 
price: 32.00 
priceCurrency: AUD

###

Same product?", no,False,False,False
