left,right,match,chatgpt_pred
title: GoPro HDMI Cable Cable AHDMC-301 - Filmtools,title: GoPro Headstrap Plus Quickclip Quickclip | Sportsman's Warehouse,False,False
title: Benq ZOWIE RL2455 24 Full HD TN Grey computer monitor 4718755065736) Product data Benq monitor monitors (9H.LF4LB.DBE,title: Zowie RL2455 E-Sports 24 Full HD LED Monitor 24 inch 1ms Monitor - HDMI 9H.LF4LB.DBE | CCL Computers Speakers,True,True
title: Mens Nixon The Crew Watch A1186-001 Men's Watches | Designer For Men Hut,title: Mens Nixon The Brigade Watch A1176-001 Men's Watches | Designer For Men Hut,False,False
title: Nike Metcon 2 - Black/White/Wolf Grey/Volt  Nike Mens Shoes Regular Training Grey/Volt,title: Nike Metcon DSX Flyknit - Wolf Grey/Volt/Wolf Grey/Black  Nike Mens Shoes Regular Training Grey/Black,False,False
title: PowerLine HD Day Night Cloud Camera Kit DCS-6045LKT PowerLine Day/Night Kit | D-Link,"title: HD DVR Surveillance System, 16 Infrared Dome Cameras, Free Mobile Apps System Cameras",False,False
title: TP-LINK 8-Port Fast Ethernet Desktop Switch (TL-SF1008D) Switches | Laptops Outlet Direct,title: Tripp Lite 750VA 450W UPS Eco Green Battery Back Up Compact 120V USB RJ11  Tripp RJ11 - ECO750UPS UPS/Battery Backups CDW.com,False,False
title: Seiko 5 Automatic 24 Jewels Men's 100m Rubber Sports Watch SRP601K1  | Dutyfreeislandshop.com,title: Seiko Solar Chronograph Alarm 100m Men's Watch SSC431P1  | Dutyfreeislandshop.com,False,False
title: Canon BG-E11 Battery Grip for EOS 5D Mark III Camera Accessories :: Canon Camera - Onestop Digital,title: Canon BG-E11 - battery grip  Canon grip 5261B001 Digital Camera Accessories CDWG.com,True,True
title: Seiko Automatic Divers Rubber Band SKX007K1 SKX007K Mens Watch Watch - DownUnderWatches,title: Seiko SKX007K1 watch,True,True
"title: Fire, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Black (B00TSUGXKE | SV98LN 848719062854) Display Offers Budkoo! Best Deals Fire Wi-Fi",title: Apple iPad mini 4 Wi-Fi - tablet 128 GB 7.9  Apple 7.9 MK9P2LL/A Tablets CDW.com,False,False
title: Transcend TS32GCF133 32 GB CompactFlash,title: Transcend 32GB CompactFlash Memory Card 133x (TS32GCF133) Accessories - Page 1531 | EISF,True,True
title: Nike Zoom Structure 19 Comp Pack Men's Running Shoes SP16 007 007 · Nike Moderate Support Trai ah,title: KANMEI GS GS | Unisex Kids Running Shoes ASICS,False,False
title: Corsair Vengeance SODIMM 8GB (2x4GB) DDR3 PC3-12800C9 1600MHz Kit (CMSX8GX3M2A1600C9) ▷ Corsair 1600MH… | OcUK,title: 364622-B23 HP 300-GB 10K FC-AL HDD Null,False,False
title: Full HD Wireless Day Night Network Camera DCS-2230L Full Camera | D-Link UK,title: Full HD WDR Varifocal Day & Night Outdoor Smoked Dome Network Camera DCS-6314BS Full Camera | D-Link UK,False,False
title: Air Jordan 5 Low “Dunk From Above” White/Metallic Gold Star-Midnight Navy For Sale Sale | New Jordans 2016,title: Air Jordan 5 Low “Dunk From Above” White-Gold/Midnight Navy 2016 Sale Sale | Cheap Jordans 2017,True,True
title: Transcend 4GB Secure Digital High-Capacity(SDHC) Class 2 SDHC Flash Memory Product data Transcend Memory memory cards (TS4GSDHC),title: Transcend TS4GSDHC BUB 4GB SDHC Secure Digital Class 2 Retail,True,True
