left,right,match,chatgpt_pred
title: Nike Metcon 2 - Black/White/Wolf Grey/Volt  Nike Mens Shoes Regular Training Grey/Volt,title: Nike Metcon DSX Flyknit - Wolf Grey/Volt/Wolf Grey/Black  Nike Mens Shoes Regular Training Grey/Black,False,False
title: Nike Zoom Structure 19 Comp Pack Men's Running Shoes SP16 007 007 · Nike Moderate Support Trai ah,title: KANMEI GS GS | Unisex Kids Running Shoes ASICS,False,False
title: Air Jordan 5 Low “Dunk From Above” White/Metallic Gold Star-Midnight Navy For Sale Sale | New Jordans 2016,title: Air Jordan 5 Low “Dunk From Above” White-Gold/Midnight Navy 2016 Sale Sale | Cheap Jordans 2017,True,True
title: Nike Womens Air Zoom Pegasus 33 - Black/White-Anthracite-Cool Grey  Nike Grey Shoes 831356-001,title: NIKE AIR ZOOM PEGASUS 33 33 - MAN RUNNING SHOES Nike colour Black 831352 001 Athletic footwear apparel and sports equipment,False,True
title: Air Jordan 14 Retro Low “Laney” Varsity Royal/Varsity Maize-Black-White For Sale Sale | Cheap Jordans 2017,title: Cheap Air Jordan 4 Retro “Motorsports” White/Varsity Blue-Black Sale Sale | Cheap Jordans 2017,False,False
title: Nike AIR Zoom Pegasus 32 Men's Training Shoes - Total Orange/Ghost Green/Black Running and Training,title: Nike AIR Zoom Pegasus 32 Men's Training Shoes - Green/Blue Lagoon/Black Clearance Footwear,False,True
title: Nike WMNS Air Force 1 Mid Mid White 366731-100 - Purchaze,title: Nike Air Force 1 Low WB WB Flax Gum Light Brown AA4061-200 - Purchaze,False,False
title: Nike Sportswear Roshe Run - Marine/Noir/Blanc  Chaussures homme Nike Marine-Noir-Blanc,title: Nike Sportswear Roshe One - Midnight Navy  Mens Shoes Nike Navy 511881-405,True,True
title: Nike Free RN - White/Black-Pure Platinum  Nike Platinum Mens Shoes 831508-101,title: Nike Free Run Distance - Black/White-Dark Grey-Wolf Grey  Nike Grey Mens Shoes 827115-010,False,False
title: Nike Zoom Winflo 3 - Racer Blue/Blue Glow-Black-White  Nike Glow-Black-White Mens Shoes 831561-401,title: Nike Zoom Winflo 3 - Blu Racer/Blu Glow/Nero/Bianco  Nike Scarpe Uomo Glow/Nero/Bianco,True,True
title: Nike Zoom Structure 19 Comp Pack Men's Running Shoes SP16 007 007 · Nike Moderate Support Trai ah,title: Nike Zoom Structure 19 Comp Pack Women's Running Shoes SP16 107 107 · Nike Moderate Support Tr ah,False,False
title: ASICS Tiger GEL-Kayano Trainer Evo Origami Pack - Black / Dark Grey  Mens Shoes ASICS Grey H621N-9016,title: Asics Gel-Kayano Trainer Evo gecko green / guava (HN6D0-8873) (HN6D0-8873) | Bludshop.com,False,False
title: Nike Free Trainer 3.0 V4 - Nero/Rosso Team/Rosso University/Volt  Nike Scarpe Uomo University/Volt,title: Nike Free Trainer 3.0 V4 - Black/Team Red/University Red/Volt  Mens Shoes Nike Red/Volt 749361-066,True,True
title: GEL-KAYANO 24 LITE-SHOW LITE-SHOW | Men Road Running ASICS,title: GEL-KAYANO TRAINER EVO EVO | Men Men's Sneakers ASICS Tiger,False,False
title: Nike Sportswear Air Force 1 07 - White  Mens Shoes Nike White 315122-111,title: Nike Sportswear Air Force 1 07 - Nero/Nero  Nike Scarpe Uomo Nero-Nero 315122-001,False,True
title: PUMA EVOSPEED 3.5 LTH FG FG - FUßBALLSCHUHE NOCKEN Puma Farbe Vielfarbig 103794 01 Der Online-Shop für deine Sportbekleidung,title: Puma evoSPEED 3.5 Lth FG - Puma Black/Puma White/Red Blast  Blast Mens Soccer Cleats Firm Ground,True,True
title: Nike Sportswear Womens Benassi Just Do It - Black  Shoes Nike Black 343881-011,title: Nike Alpha Huarache Men's Low Turf Shoes - Black/White Cleated,False,False
title: Jordan - Men's Air Jordan 5 Retro 'Dark Stucco Camo' (Dark | Fire Red),title: FjallRaven G-1000 Cap Dark Grey  FjallRaven - ca,False,False
title: NIKE ZOOM WINFLO 3  kixpress.com - NIKE   3 831561-001,title: Nike Air Zoom Pegasus 33 - Concord/White-Black-Electric Green  Nike Mens Shoes Green,False,False
