dataset,fscore
Dirty/DBLP-ACM,0.9861293251540678
Dirty/DBLP-GoogleScholar,0.9513878743867998
Dirty/iTunes-Amazon,0.9013606181232795
Structured/Amazon-Google,0.7466038710720584
Structured/Beer,0.7928202189966895
Structured/DBLP-ACM,0.986103041440774
Structured/DBLP-GoogleScholar,0.9532992736477581
Structured/Fodors-Zagats,0.9866531850353892
Structured/iTunes-Amazon,0.951416415622853
Textual/Abt-Buy,0.8611093740340037
Textual/Company,0.909344411279031
wdc_all_small,0.8137317675747859
wdc_all_medium,0.8464801913566113
wdc_all_large,0.9290447542307427
wdc_all_xlarge,0.9406002006873834
wdc_cameras_small,0.7684619447291892
wdc_cameras_medium,0.8600711662780629
wdc_cameras_large,0.9185806442163098
wdc_cameras_xlarge,0.942385484050811
wdc_computers_small,0.7873465258820084
wdc_computers_medium,0.8595907925606184
wdc_computers_large,0.9145413285653102
wdc_computers_xlarge,0.9524095498002353
wdc_shoes_small,0.7355298135537001
wdc_shoes_medium,0.8226581532871204
wdc_shoes_large,0.8590122153929303
wdc_shoes_xlarge,0.9022734523154883
wdc_watches_small,0.813135168840766
wdc_watches_medium,0.8976467252793245
wdc_watches_large,0.9671228020304223
wdc_watches_xlarge,0.9632996416304771
