left,right,match,chatgpt_pred
title: Benq ZOWIE RL2455 24 Full HD TN Grey computer monitor 4718755065736) Product data Benq monitor monitors (9H.LF4LB.DBE,title: Zowie RL2455 E-Sports 24 Full HD LED Monitor 24 inch 1ms Monitor - HDMI 9H.LF4LB.DBE | CCL Computers Speakers,True,True
title: TP-LINK 8-Port Fast Ethernet Desktop Switch (TL-SF1008D) Switches | Laptops Outlet Direct,title: Tripp Lite 750VA 450W UPS Eco Green Battery Back Up Compact 120V USB RJ11  Tripp RJ11 - ECO750UPS UPS/Battery Backups CDW.com,False,False
"title: Fire, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Black (B00TSUGXKE | SV98LN 848719062854) Display Offers Budkoo! Best Deals Fire Wi-Fi",title: Apple iPad mini 4 Wi-Fi - tablet 128 GB 7.9  Apple 7.9 MK9P2LL/A Tablets CDW.com,False,False
title: Corsair Vengeance SODIMM 8GB (2x4GB) DDR3 PC3-12800C9 1600MHz Kit (CMSX8GX3M2A1600C9) ▷ Corsair 1600MH… | OcUK,title: 364622-B23 HP 300-GB 10K FC-AL HDD Null,False,False
title: 672631-B21 HP 16GB (1x16GB) SDRAM DIMM Null,title: 404712-001 HP 146-GB U320 SCSI 15K Null,False,False
"title: WD Red NAS 3.5 Internal HDD SATA 6Gb/s, 2TB 6Gb/s 2TB - WD | CPC",title: Buy Online | WD Red WD20EFRX 2TB Desktop Internal Hard Drive Price in India,True,False
"title: Intel Processor, Core i7-7700K i7-7700K (BX80677I77700K) Processor",title: Intel - Core i3-6100 3.7GHz Dual-Core Processor Processor (BX80662I36100) PCPartPicker,False,False
title: WD Black 2TB Performance Desktop Hard Disk Drive - 7200 RPM SATA 6 Gb/s 64MB Cache 3.5 Inch WD2003FZEX  WD WD200,title: HDD Black 2TB 3.5 SATA 6Gbs 64MB Cables Tu tienda online líder con precios más baratos!,True,False
title: AMD Ryzen Threadripper 1950X Box,title: AMD Ryzen Threadripper Sixteen Core 1950X 4.00GHz (Socket TR4) Processor - Retail ▷ AMD TR… | OcUK,True,True
title: HPE Smart Array P421/2GB with FBWC - storage controller (RAID) SATA 6Gb/s  HPE 6Gb/s 631674-B21 RAID Controllers CDW.com,title: Transcend TS64GUSDU1 - flash memory card 64 GB SDXC UHS-I  Transcend UHS-I Flash Memory Cards CDW.com,False,False
title: Corsair Dominator Platinum 16GB (2x8GB) DDR4 PC4-24000 3000MHz Dual Channel Kit  2x8GB | CMD16GX4M2B3000C15 Novatech,title: Corsair Vengeance LPX Red 16GB (4x4GB) DDR4 PC4-24000 3000MHz Dual/Quad Channel Kit  4x4GB | CMK16GX4M4B3000C15R Novatech,False,False
title: Apple iMac 21.5-inch 3.06GHz Core i3 (Mid 2010) MC508LL/A iMac 21.5 | macofalltrades,title: Apple MacBook Pro 13-inch (Glossy) 2.5GHz Core i5 (Mid 2012) MD101LL/A MacBook 13 | macofalltrades,False,False
title: 345628-B21 BL40P (1) X2.2GHz 2MB Server Null,"title: 345628-B21 BL40P (1) X2.2GHz 2MB Server, Null Price 345628-B21 Server Wholesale 345628-B21",True,True
title: SanDisk SDSDB-016G CRZ 16GB SDHC card Class 2 2MB/s Bulk,title: SanDisk SDSDJ-016G CRZ 16GB 9p SDHC card Class 2 2MB/s Bulk,True,True
